home_team,away_team,toss_won,decision,winner,venue_name,home_captain,away_captain,reserve_umpire,away_team_win_percentage,home_playx1_1,home_playx1_2,home_playx1_3,home_playx1_4,home_playx1_5,home_playx1_6,home_playx1_7,home_playx1_8,home_playx1_9,home_playx1_10,home_playx1_11,away_playx1_1,away_playx1_2,away_playx1_3,away_playx1_4,away_playx1_5,away_playx1_6,away_playx1_7,away_playx1_8,away_playx1_9,away_playx1_10,away_playx1_11,home_key_batsman_1,home_key_batsman_2,home_key_bowler_1,home_key_bowler_2,away_key_batsman_1,away_key_batsman_2,away_key_bowler_1,away_key_bowler_2
CSK,PBKS,0,1,9,2,Ravindra Jadeja,Mayank Agarwal,38,57,Robin Uthappa (UKN),Ruturaj Gaikwad (UKN),Moeen Ali (AR),Ambati Rayudu (UKN),Ravindra Jadeja (AR),Shivam Dube (AR),MS Dhoni (WK),Dwayne Bravo (AR),Dwaine Pretorius (AR),Chris Jordan (BL),Mukesh Choudhary (BL),Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (UKN),Liam Livingstone (AR),Jitesh Sharma (WK),M Shahrukh Khan (UKN),Odean Smith (AR),Kagiso Rabada (BL),Rahul Chahar (BL),Vaibhav Arora (BL),Arshdeep Singh (BL),Shivam Dube,MS Dhoni,Chris Jordan,Dwaine Pretorius,Liam Livingstone,Shikhar Dhawan,Rahul Chahar,Vaibhav Arora
SRH,LSG,13,1,7,6,Kane Williamson,KL Rahul,30,0,Abhishek Sharma (AR),Kane Williamson (UKN),Rahul Tripathi (UKN),Aiden Markram (UKN),Nicholas Pooran (WK),Washington Sundar (AR),Abdul Samad (UKN),Romario Shepherd (AR),Bhuvneshwar Kumar (BL),Umran Malik (BL),T Natarajan (BL),KL Rahul (UKN),Quinton de Kock (WK),Evin Lewis (UKN),Manish Pandey (UKN),Deepak Hooda (AR),Ayush Badoni (UKN),Krunal Pandya (AR),Jason Holder (AR),Andrew Tye (BL),Ravi Bishnoi (BL),Avesh Khan (BL),Rahul Tripathi,Nicholas Pooran,T Natarajan,Washington Sundar,KL Rahul,Deepak Hooda,Avesh Khan,Jason Holder
RR,RCB,10,1,11,34,Sanju Samson,Faf du Plessis,27,40,Jos Buttler (UKN),Yashasvi Jaiswal (UKN),Devdutt Padikkal (UKN),Sanju Samson (WK),Shimron Hetmyer (UKN),Riyan Parag (UKN),Ravichandran Ashwin (AR),Navdeep Saini (BL),Trent Boult (BL),Yuzvendra Chahal (BL),Prasidh Krishna (BL),Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),David Willey (AR),Sherfane Rutherford (UKN),Shahbaz Ahmed (AR),Dinesh Karthik (WK),Harshal Patel (BL),Wanindu Hasaranga de Silva (AR),Mohammed Siraj (BL),Akash Deep (AR),Jos Buttler,Shimron Hetmyer,Yuzvendra Chahal,Trent Boult,Shahbaz Ahmed,Dinesh Karthik,Harshal Patel,David Willey
KKR,MI,4,1,4,17,Shreyas Iyer,Rohit Sharma,40,51,Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Sam Billings (WK),Nitish Rana (UKN),Andre Russell (AR),Pat Cummins (BL),Sunil Narine (AR),Rasikh Salam (BL),Umesh Yadav (BL),Varun Chakravarthy (BL),Rohit Sharma (UKN),Ishan Kishan (WK),Dewald Brevis (AR),Suryakumar Yadav (UKN),Tilak Varma (AR),Kieron Pollard (AR),Daniel Sams (AR),Murugan Ashwin (BL),Tymal Mills (BL),Jasprit Bumrah (BL),Basil Thampi (BL),Pat Cummins,Venkatesh Iyer,Pat Cummins,Umesh Yadav,Suryakumar Yadav,Tilak Varma,Murugan Ashwin,Tymal Mills
LSG,DC,7,1,7,6,KL Rahul,Rishabh Pant,2,0,KL Rahul (UKN),Quinton de Kock (WK),Evin Lewis (UKN),Deepak Hooda (AR),Krunal Pandya (AR),Ayush Badoni (UKN),Krishnappa Gowtham (AR),Jason Holder (AR),Avesh Khan (BL),Andrew Tye (BL),Ravi Bishnoi (BL),Prithvi Shaw (UKN),David Warner (UKN),Rovman Powell (UKN),Rishabh Pant (WK),Sarfaraz Khan (UKN),Lalit Yadav (AR),Axar Patel (AR),Shardul Thakur (BL),Kuldeep Yadav (BL),Mustafizur Rahman (BL),Anrich Nortje (BL),Quinton de Kock,KL Rahul,Ravi Bishnoi,Krishnappa Gowtham,Prithvi Shaw,Rishabh Pant,Kuldeep Yadav,Lalit Yadav
PBKS,GT,3,1,3,2,Mayank Agarwal,Hardik Pandya,9,0,Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Jonny Bairstow (WK),Liam Livingstone (AR),Jitesh Sharma (UKN),Odean Smith (AR),M Shahrukh Khan (UKN),Kagiso Rabada (BL),Rahul Chahar (BL),Vaibhav Arora (BL),Arshdeep Singh (BL),Matthew Wade (WK),Shubman Gill (UKN),Sai Sudharsan (UKN),Hardik Pandya (AR),David Miller (UKN),Rahul Tewatia (AR),Abhinav Manohar (AR),Rashid Khan (BL),Darshan Nalkande (BL),Mohammed Shami (BL),Lockie Ferguson (BL),Liam Livingstone,Shikhar Dhawan,Kagiso Rabada,Rahul Chahar,Shubman Gill,Sai Sudharsan,Rashid Khan,Darshan Nalkande
CSK,SRH,13,1,14,6,Ravindra Jadeja,Kane Williamson,29,18,Robin Uthappa (UKN),Ruturaj Gaikwad (UKN),Moeen Ali (AR),Ambati Rayudu (UKN),Shivam Dube (AR),Ravindra Jadeja (AR),MS Dhoni (WK),Dwayne Bravo (AR),Chris Jordan (BL),Maheesh Theekshana (BL),Mukesh Choudhary (BL),Abhishek Sharma (AR),Kane Williamson (UKN),Rahul Tripathi (UKN),Nicholas Pooran (WK),Aiden Markram (UKN),Shashank Singh (AR),Washington Sundar (AR),Bhuvneshwar Kumar (BL),Marco Jansen (AR),Umran Malik (BL),T Natarajan (BL),Moeen Ali,Ambati Rayudu,Mukesh Choudhary,Dwayne Bravo,Abhishek Sharma,Rahul Tripathi,Washington Sundar,T Natarajan
RCB,MI,10,1,11,17,Faf du Plessis,Rohit Sharma,58,46,Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),Dinesh Karthik (WK),Glenn Maxwell (AR),David Willey (AR),Shahbaz Ahmed (AR),Wanindu Hasaranga de Silva (AR),Harshal Patel (BL),Mohammed Siraj (BL),Akash Deep (AR),Ishan Kishan (WK),Rohit Sharma (UKN),Dewald Brevis (AR),Suryakumar Yadav (UKN),Tilak Varma (AR),Kieron Pollard (AR),Ramandeep Singh (UKN),Jaydev Unadkat (BL),Murugan Ashwin (BL),Jasprit Bumrah (BL),Basil Thampi (BL),Anuj Rawat,Virat Kohli,Harshal Patel,Wanindu Hasaranga de Silva,Suryakumar Yadav,Ishan Kishan,Jaydev Unadkat,Dewald Brevis
KKR,DC,4,1,1,2,Shreyas Iyer,Rishabh Pant,38,12,Ajinkya Rahane (UKN),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Nitish Rana (UKN),Andre Russell (AR),Sam Billings (WK),Pat Cummins (BL),Sunil Narine (AR),Umesh Yadav (BL),Rasikh Salam (BL),Varun Chakravarthy (BL),Prithvi Shaw (UKN),David Warner (UKN),Rishabh Pant (WK),Lalit Yadav (AR),Rovman Powell (UKN),Axar Patel (AR),Shardul Thakur (BL),Sarfaraz Khan (UKN),Kuldeep Yadav (BL),Mustafizur Rahman (BL),Khaleel Ahmed (BL),Shreyas Iyer,Nitish Rana,Sunil Narine,Andre Russell,David Warner,Prithvi Shaw,Kuldeep Yadav,Khaleel Ahmed
RR,LSG,7,1,13,34,Sanju Samson,KL Rahul,39,0,Jos Buttler (UKN),Devdutt Padikkal (UKN),Sanju Samson (WK),Rassie van der Dussen (UKN),Shimron Hetmyer (UKN),Ravichandran Ashwin (AR),Riyan Parag (UKN),Trent Boult (BL),Yuzvendra Chahal (BL),Kuldeep Sen (BL),Prasidh Krishna (BL),KL Rahul (UKN),Quinton de Kock (WK),Krishnappa Gowtham (AR),Jason Holder (AR),Deepak Hooda (AR),Ayush Badoni (UKN),Krunal Pandya (AR),Marcus Stoinis (AR),Dushmantha Chameera (BL),Avesh Khan (BL),Ravi Bishnoi (BL),Shimron Hetmyer,Devdutt Padikkal,Yuzvendra Chahal,Trent Boult,Quinton de Kock,Marcus Stoinis,Krishnappa Gowtham,Jason Holder
SRH,GT,13,1,14,6,Kane Williamson,Hardik Pandya,27,0,Abhishek Sharma (AR),Kane Williamson (UKN),Rahul Tripathi (UKN),Nicholas Pooran (WK),Aiden Markram (UKN),Shashank Singh (AR),Washington Sundar (AR),Marco Jansen (AR),Bhuvneshwar Kumar (BL),T Natarajan (BL),Umran Malik (BL),Matthew Wade (WK),Shubman Gill (UKN),Sai Sudharsan (UKN),Hardik Pandya (AR),David Miller (UKN),Abhinav Manohar (AR),Rahul Tewatia (AR),Rashid Khan (BL),Darshan Nalkande (BL),Mohammed Shami (BL),Lockie Ferguson (BL),Kane Williamson,Abhishek Sharma,T Natarajan,Bhuvneshwar Kumar,Hardik Pandya,Abhinav Manohar,Hardik Pandya,Rashid Khan
CSK,RCB,10,1,0,6,Ravindra Jadeja,Faf du Plessis,2,13,Ruturaj Gaikwad (UKN),Robin Uthappa (UKN),Moeen Ali (AR),Shivam Dube (AR),Ravindra Jadeja (AR),MS Dhoni (WK),Ambati Rayudu (UKN),Dwayne Bravo (AR),Chris Jordan (BL),Maheesh Theekshana (BL),Mukesh Choudhary (BL),Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),Glenn Maxwell (AR),Shahbaz Ahmed (AR),Suyash Prabhudessai (AR),Dinesh Karthik (WK),Wanindu Hasaranga de Silva (AR),Akash Deep (AR),Mohammed Siraj (BL),Josh Hazlewood (BL),Shivam Dube,Robin Uthappa,Maheesh Theekshana,Ravindra Jadeja,Shahbaz Ahmed,Suyash Prabhudessai,Wanindu Hasaranga de Silva,Josh Hazlewood
MI,PBKS,8,1,9,17,Rohit Sharma,Mayank Agarwal,40,0,Rohit Sharma (UKN),Ishan Kishan (WK),Dewald Brevis (AR),Tilak Varma (AR),Suryakumar Yadav (UKN),Kieron Pollard (AR),Jaydev Unadkat (BL),Murugan Ashwin (BL),Jasprit Bumrah (BL),Tymal Mills (BL),Basil Thampi (BL),Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Jonny Bairstow (UKN),Liam Livingstone (AR),Jitesh Sharma (WK),M Shahrukh Khan (UKN),Odean Smith (AR),Kagiso Rabada (BL),Rahul Chahar (BL),Vaibhav Arora (BL),Arshdeep Singh (BL),Dewald Brevis,Suryakumar Yadav,Basil Thampi,Jasprit Bumrah,Shikhar Dhawan,Mayank Agarwal,Odean Smith,Kagiso Rabada
RR,GT,12,1,3,6,Sanju Samson,Hardik Pandya,52,0,Jos Buttler (UKN),Devdutt Padikkal (UKN),Ravichandran Ashwin (AR),Sanju Samson (WK),Rassie van der Dussen (UKN),Shimron Hetmyer (UKN),Riyan Parag (UKN),James Neesham (AR),Prasidh Krishna (BL),Yuzvendra Chahal (BL),Kuldeep Sen (BL),Matthew Wade (WK),Shubman Gill (UKN),Vijay Shankar (AR),Hardik Pandya (AR),Abhinav Manohar (AR),David Miller (UKN),Rahul Tewatia (AR),Rashid Khan (BL),Mohammed Shami (BL),Lockie Ferguson (BL),Yash Dayal (BL),Jos Buttler,Shimron Hetmyer,Yuzvendra Chahal,Riyan Parag,Hardik Pandya,Abhinav Manohar,Lockie Ferguson,Yash Dayal
SRH,KKR,13,1,14,2,Kane Williamson,Shreyas Iyer,31,38,Abhishek Sharma (AR),Kane Williamson (UKN),Rahul Tripathi (UKN),Aiden Markram (UKN),Nicholas Pooran (WK),Shashank Singh (AR),Jagadeesha Suchith (BL),Marco Jansen (AR),Bhuvneshwar Kumar (BL),T Natarajan (BL),Umran Malik (BL),Venkatesh Iyer (AR),Aaron Finch (UKN),Shreyas Iyer (UKN),Sunil Narine (AR),Nitish Rana (UKN),Sheldon Jackson (WK),Andre Russell (AR),Pat Cummins (BL),Aman Hakim Khan (BL),Umesh Yadav (BL),Varun Chakravarthy (BL),Rahul Tripathi,Aiden Markram,T Natarajan,Umran Malik,Nitish Rana,Andre Russell,Andre Russell,Pat Cummins
MI,LSG,8,1,7,2,Rohit Sharma,KL Rahul,61,0,Ishan Kishan (WK),Rohit Sharma (UKN),Dewald Brevis (AR),Suryakumar Yadav (UKN),Tilak Varma (AR),Kieron Pollard (AR),Fabian Allen (AR),Jaydev Unadkat (BL),Murugan Ashwin (BL),Jasprit Bumrah (BL),Tymal Mills (BL),KL Rahul (UKN),Quinton de Kock (WK),Manish Pandey (UKN),Marcus Stoinis (AR),Deepak Hooda (AR),Krunal Pandya (AR),Ayush Badoni (UKN),Jason Holder (AR),Dushmantha Chameera (BL),Avesh Khan (BL),Ravi Bishnoi (BL),Suryakumar Yadav,Dewald Brevis,Jaydev Unadkat,Murugan Ashwin,KL Rahul,Manish Pandey,Avesh Khan,Marcus Stoinis
DC,RCB,1,1,11,34,Rishabh Pant,Faf du Plessis,29,47,Prithvi Shaw (UKN),David Warner (UKN),Mitchell Marsh (AR),Rishabh Pant (WK),Rovman Powell (UKN),Lalit Yadav (AR),Shardul Thakur (BL),Axar Patel (AR),Kuldeep Yadav (BL),Mustafizur Rahman (BL),Khaleel Ahmed (BL),Faf du Plessis (UKN),Anuj Rawat (UKN),Virat Kohli (UKN),Glenn Maxwell (AR),Suyash Prabhudessai (AR),Shahbaz Ahmed (AR),Dinesh Karthik (WK),Wanindu Hasaranga de Silva (AR),Mohammed Siraj (BL),Harshal Patel (BL),Josh Hazlewood (BL),David Warner,Rishabh Pant,Shardul Thakur,Axar Patel,Dinesh Karthik,Glenn Maxwell,Josh Hazlewood,Mohammed Siraj
PBKS,SRH,13,1,14,6,Shikhar Dhawan,Kane Williamson,2,57,Shikhar Dhawan (UKN),Prabhsimran Singh (UKN),Jonny Bairstow (UKN),Liam Livingstone (AR),Jitesh Sharma (WK),M Shahrukh Khan (UKN),Odean Smith (AR),Kagiso Rabada (BL),Rahul Chahar (BL),Vaibhav Arora (BL),Arshdeep Singh (BL),Abhishek Sharma (AR),Kane Williamson (UKN),Rahul Tripathi (UKN),Aiden Markram (UKN),Nicholas Pooran (WK),Shashank Singh (AR),Jagadeesha Suchith (BL),Bhuvneshwar Kumar (BL),Marco Jansen (AR),T Natarajan (BL),Umran Malik (BL),Liam Livingstone,M Shahrukh Khan,Rahul Chahar,Kagiso Rabada,Aiden Markram,Nicholas Pooran,Umran Malik,Bhuvneshwar Kumar
GT,CSK,3,1,3,17,Rashid Khan,Ravindra Jadeja,58,0,Wriddhiman Saha (WK),Shubman Gill (UKN),Vijay Shankar (AR),Abhinav Manohar (AR),David Miller (UKN),Rahul Tewatia (AR),Rashid Khan (BL),Alzarri Joseph (BL),Lockie Ferguson (BL),Mohammed Shami (BL),Yash Dayal (BL),Ruturaj Gaikwad (UKN),Robin Uthappa (UKN),Moeen Ali (AR),Ambati Rayudu (UKN),Shivam Dube (AR),Ravindra Jadeja (AR),MS Dhoni (WK),Dwayne Bravo (AR),Chris Jordan (BL),Maheesh Theekshana (BL),Mukesh Choudhary (BL),David Miller,Rashid Khan,Alzarri Joseph,Mohammed Shami,Ruturaj Gaikwad,Ambati Rayudu,Dwayne Bravo,Maheesh Theekshana
RR,KKR,4,1,13,2,Sanju Samson,Shreyas Iyer,27,20,Jos Buttler (UKN),Devdutt Padikkal (UKN),Sanju Samson (WK),Shimron Hetmyer (UKN),Riyan Parag (UKN),Karun Nair (UKN),Ravichandran Ashwin (AR),Trent Boult (BL),Obed McCoy (BL),Prasidh Krishna (BL),Yuzvendra Chahal (BL),Aaron Finch (UKN),Sunil Narine (AR),Shreyas Iyer (UKN),Nitish Rana (UKN),Andre Russell (AR),Venkatesh Iyer (AR),Sheldon Jackson (WK),Shivam Mavi (AR),Pat Cummins (BL),Umesh Yadav (BL),Varun Chakravarthy (BL),Jos Buttler,Sanju Samson,Yuzvendra Chahal,Obed McCoy,Shreyas Iyer,Aaron Finch,Sunil Narine,Andre Russell
LSG,RCB,7,1,11,6,KL Rahul,Faf du Plessis,9,0,Quinton de Kock (WK),KL Rahul (UKN),Manish Pandey (UKN),Krunal Pandya (AR),Deepak Hooda (AR),Ayush Badoni (UKN),Marcus Stoinis (AR),Jason Holder (AR),Dushmantha Chameera (BL),Ravi Bishnoi (BL),Avesh Khan (BL),Anuj Rawat (UKN),Faf du Plessis (UKN),Virat Kohli (UKN),Glenn Maxwell (AR),Suyash Prabhudessai (AR),Shahbaz Ahmed (AR),Dinesh Karthik (WK),Harshal Patel (BL),Wanindu Hasaranga de Silva (AR),Josh Hazlewood (BL),Mohammed Siraj (BL),Krunal Pandya,KL Rahul,Jason Holder,Dushmantha Chameera,Faf du Plessis,Shahbaz Ahmed,Josh Hazlewood,Harshal Patel
DC,PBKS,1,1,1,2,Rishabh Pant,Mayank Agarwal,38,0,Prithvi Shaw (UKN),David Warner (UKN),Sarfaraz Khan (UKN),Rishabh Pant (WK),Rovman Powell (UKN),Lalit Yadav (AR),Shardul Thakur (BL),Axar Patel (AR),Kuldeep Yadav (BL),Mustafizur Rahman (BL),Khaleel Ahmed (BL),Mayank Agarwal (UKN),Shikhar Dhawan (UKN),Jonny Bairstow (UKN),Liam Livingstone (AR),Jitesh Sharma (WK),M Shahrukh Khan (UKN),Kagiso Rabada (BL),Nathan Ellis (BL),Rahul Chahar (BL),Arshdeep Singh (BL),Vaibhav Arora (BL),David Warner,Prithvi Shaw,Axar Patel,Lalit Yadav,Jitesh Sharma,Mayank Agarwal,Rahul Chahar,Kagiso Rabada
MI,CSK,0,1,0,6,Rohit Sharma,Ravindra Jadeja,40,23,Rohit Sharma (UKN),Ishan Kishan (WK),Dewald Brevis (AR),Suryakumar Yadav (UKN),Tilak Varma (AR),Hrithik Shokeen (BL),Kieron Pollard (AR),Daniel Sams (AR),Jaydev Unadkat (BL),Riley Meredith (BL),Jasprit Bumrah (BL),Ruturaj Gaikwad (UKN),Robin Uthappa (UKN),Mitchell Santner (AR),Ambati Rayudu (UKN),Shivam Dube (AR),Ravindra Jadeja (AR),MS Dhoni (WK),Dwaine Pretorius (AR),Dwayne Bravo (AR),Mukesh Choudhary (BL),Maheesh Theekshana (BL),Tilak Varma,Suryakumar Yadav,Daniel Sams,Jaydev Unadkat,Ambati Rayudu,Robin Uthappa,Mukesh Choudhary,Dwayne Bravo
DC,RR,1,1,13,34,Rishabh Pant,Sanju Samson,39,22,Prithvi Shaw (UKN),David Warner (UKN),Sarfaraz Khan (UKN),Rishabh Pant (WK),Lalit Yadav (AR),Axar Patel (AR),Shardul Thakur (BL),Rovman Powell (UKN),Kuldeep Yadav (BL),Mustafizur Rahman (BL),Khaleel Ahmed (BL),Jos Buttler (UKN),Devdutt Padikkal (UKN),Sanju Samson (WK),Shimron Hetmyer (UKN),Riyan Parag (UKN),Karun Nair (UKN),Ravichandran Ashwin (AR),Trent Boult (BL),Obed McCoy (BL),Prasidh Krishna (BL),Yuzvendra Chahal (BL),Rishabh Pant,Prithvi Shaw,Mustafizur Rahman,Khaleel Ahmed,Jos Buttler,Devdutt Padikkal,Prasidh Krishna,Ravichandran Ashwin
